Game,Genres/Tags,Companies,Languages,Original Size,Repack Size,URL
Dark Souls Remastered,"RPG, Action RPG, Permanent death, Third-person, 3D","Genres/Tags: RPG , Action RPG , Permanent death , Third-person , 3D Companies: From Software / Bandai Namco Languages: RUS/ENG/MULTI11 Original Size: 6.6 GB Repack Size: 4 GB","Genres/Tags: RPG , Action RPG , Permanent death , Third-person , 3D Companies: From Software / Bandai Namco Languages: RUS/ENG/MULTI11 Original Size: 6.6 GB Repack Size: 4 GB",6.6 GB,6.6 GB,https://fitgirl-repacks.site/dark-souls-remastered
Darkblade Ascent – v1.0 (Release),"RPG, Action RPG, Content randomization, First-person, 3D",,,13.2 GB,13.2 GB,https://fitgirl-repacks.site/darkblade-ascent
Darker Skies: Remastered + Windows 7 Fix,"Action, Third-person, 3D, Horror",,,10.5 GB,10.5 GB,https://fitgirl-repacks.site/darker-skies-remastered
"Darkest Dungeon II: Resolute Edition, v2.04.80648 + 5 DLCs/Bonuses","RPG, Dungeon crawl, Permanent death, Side, 3D, Party-based, Turn-based",,"Genres/Tags: RPG , Dungeon crawl , Permanent death , Side , 3D , Party-based , Turn-based Company: Red Hook Studios Languages: RUS/ENG/MULTI13 Original Size: 7.7 GB Repack Size: 3.4/3.7 GB",7.7 GB,7.7 GB,https://fitgirl-repacks.site/darkest-dungeon-2
"Darkest Dungeon: The Collector’s Edition, v27760 + 7 DLCs/Bonuses","RPG, Level randomization, Permanent death, Side, 2D, Turn-based",,"Genres/Tags: RPG , Level randomization , Permanent death , Side , 2D , Turn-based Company: Red Hook Studios Languages: RUS/ENG/MULTI12 Original Size: 5.1 GB Repack Size: 2/2.2 GB",5.1 GB,5.1 GB,https://fitgirl-repacks.site/darkest-dungeon
DarkHouse,"Adventure, Exploration, Horror, First-person, 3D",,"Genres/Tags: Adventure , Exploration , Horror , First-person , 3D Company: VD Games Languages: RUS/ENG Original Size: 4.5 GB Repack Size: 2.7 GB",4.5 GB,4.5 GB,https://fitgirl-repacks.site/darkhouse
Darksburg – v1.0.11.17957 (The Runes of Power Update),"Action, Isometric, 3D",,"Genres/Tags: Action , Isometric , 3D Company: Shiro Games Languages: RUS/ENG/MULTI8 Original Size: 1.1 GB Repack Size: 486 MB",1.1 GB,1.1 GB,https://fitgirl-repacks.site/darksburg
Darksiders 2: Deathinitive Edition + Update 2,,,Company: Nordic Games Languages: RUS/ENG/MULTI9 Original Size: 14.4 GB Repack Size: 7.4/7.5 GB [Selective Download] Download mirrors: Kickass Torrents Magnet — .torrent only Tapochek.net Free-torrents rutor.info — Magnet Screenshots:,14.4 GB,14.4 GB,https://fitgirl-repacks.site/darksiders-2-deathinitive-edition-update-2
Darksiders 2: The Complete Edition,,,"Company: THQ Languages: RUS/ENG/MULTI9 Original Size: 8,2 GB Repack Size: 4,3~6 GB [Selective Download]","8,2 GB","8,2 GB",https://fitgirl-repacks.site/darksiders-2-the-complete-edition
Darksiders III – v203415_PK1_PK2 + 3 DLCs,"Action, Slasher, Open world, Third-person, 3D","Genres/Tags: Action , Slasher , Open world , Third-person , 3D Companies: Gunfire Games, THQ Nordic Languages: RUS/ENG/MULTI13 Original Size: 24.2 GB Repack Size: 15.1/15.2 GB","Genres/Tags: Action , Slasher , Open world , Third-person , 3D Companies: Gunfire Games, THQ Nordic Languages: RUS/ENG/MULTI13 Original Size: 24.2 GB Repack Size: 15.1/15.2 GB",24.2 GB,24.2 GB,https://fitgirl-repacks.site/darksiders-3
Darksiders: Genesis – Build #42500 + Digital Extras DLC + Multiplayer,"RPG, Action RPG, Isometric, 3D, 1337x, KAT, magnet, .torrent file only, RuTor, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehosters: Google Drive + 2, Filehosters: DropArk + NitroFlare, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: RPG , Action RPG , Isometric , 3D Companies: Airship Syndicate, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 9.7 GB Repack Size: from 6.2 GB [Selective Download] Download Mirrors 1337x | KAT [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehosters: Google Drive + 2 (Uploaded by Uria Urikra and hermietkreeft, compatible with torrent) Filehosters: DropArk + NitroFlare (Uploaded by Vikky793, not compatible with torrent) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Darksiders_Genesis-HOODLUM ISO release: hlm-darksidersgenesis.iso (10,223,378,432 bytes) Digital Extras DLC (221 MB, contains OST in MP3 format and 60-pages ArtBook) added Alternative SSE-based crack is available in NoDVD folder after installation, allowing multiplayer support – check readme.txt 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of Digital Extras content Significantly smaller archive size (compressed from cumulative 9.7 to 6.15/6.3 GB) Installation takes 3-7 minutes (depending on your system) After-install integrity check so you could make sure that everything installed properly HDD space after installation: 11 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description From the dawn of creation, THE COUNCIL has maintained the Balance across existence. Carrying out their orders are THE HORSEMEN, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Still reeling from the events on Eden, WAR and STRIFE have been given a new assignment — LUCIFER, the enigmatic and deceptive demon king, has been plotting to upset the Balance by granting power to master demons throughout Hell. War and Strife must hunt down these masters, gather information, and ultimately fight their way through a tangled, demonic conspiracy that threatens to forever upset the Balance and unravel all of creation. DARKSIDERS: GENESIS is an action/adventure game that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of DARKSIDERS before the events of the original game. Furthermore, it introduces the fourth and last horseman STRIFE, as well as Co-op gameplay for the first time in the history of the franchise. Game Features Blast angels and demons as the gunslinging Horseman Strife, playable for the first time Swap between the powerful swordsman War and Strife instantly in frenetic, single-player gameplay Explore the epic world of Darksiders and wreak havoc with a friend in two-player cooperative mode Experience a brand new story campaign that takes place before the original Darksiders, exploring the origin of the Seven Seals Grow in strength and power as you collect items, abilities, weapon enhancements, creature cores and more","Genres/Tags: RPG , Action RPG , Isometric , 3D Companies: Airship Syndicate, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 9.7 GB Repack Size: from 6.2 GB [Selective Download] Download Mirrors 1337x | KAT [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehosters: Google Drive + 2 (Uploaded by Uria Urikra and hermietkreeft, compatible with torrent) Filehosters: DropArk + NitroFlare (Uploaded by Vikky793, not compatible with torrent) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Darksiders_Genesis-HOODLUM ISO release: hlm-darksidersgenesis.iso (10,223,378,432 bytes) Digital Extras DLC (221 MB, contains OST in MP3 format and 60-pages ArtBook) added Alternative SSE-based crack is available in NoDVD folder after installation, allowing multiplayer support – check readme.txt 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of Digital Extras content Significantly smaller archive size (compressed from cumulative 9.7 to 6.15/6.3 GB) Installation takes 3-7 minutes (depending on your system) After-install integrity check so you could make sure that everything installed properly HDD space after installation: 11 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description From the dawn of creation, THE COUNCIL has maintained the Balance across existence. Carrying out their orders are THE HORSEMEN, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Still reeling from the events on Eden, WAR and STRIFE have been given a new assignment — LUCIFER, the enigmatic and deceptive demon king, has been plotting to upset the Balance by granting power to master demons throughout Hell. War and Strife must hunt down these masters, gather information, and ultimately fight their way through a tangled, demonic conspiracy that threatens to forever upset the Balance and unravel all of creation. DARKSIDERS: GENESIS is an action/adventure game that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of DARKSIDERS before the events of the original game. Furthermore, it introduces the fourth and last horseman STRIFE, as well as Co-op gameplay for the first time in the history of the franchise. Game Features Blast angels and demons as the gunslinging Horseman Strife, playable for the first time Swap between the powerful swordsman War and Strife instantly in frenetic, single-player gameplay Explore the epic world of Darksiders and wreak havoc with a friend in two-player cooperative mode Experience a brand new story campaign that takes place before the original Darksiders, exploring the origin of the Seven Seals Grow in strength and power as you collect items, abilities, weapon enhancements, creature cores and more",9.7 GB,9.7 GB,https://fitgirl-repacks.site/darksiders-genesis
Darksiders: Warmastered Edition + Update 11 (v1.00 cs:2617),"Action, Slasher, Third-person, 3D","Genres/Tags: Action , Slasher , Third-person , 3D Companies: Vigil Games, Gunfire Games, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 21.9 GB Repack Size: 15.7 GB","Genres/Tags: Action , Slasher , Third-person , 3D Companies: Vigil Games, Gunfire Games, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 21.9 GB Repack Size: 15.7 GB",21.9 GB,21.9 GB,https://fitgirl-repacks.site/darksiders-warmastered-edition
DarkSwitch – vR26.0408.9102,"Management, Strategy, Survival, 3D",,"Genres/Tags: Management , Strategy , Survival , 3D Company: Cyber ​​Temple Games Languages: RUS/ENG/MULTI6 Original Size: 7.1 GB Repack Size: 4 GB",7.1 GB,7.1 GB,https://fitgirl-repacks.site/darkswitch
DarkTimes: Wrath of the Raven,"Arcade, Top view, 3D",,"Genres/Tags: Arcade , Top view , 3D Company: Salvagers Studio Languages: ENG/FRA Original Size: 5.1 GB Repack Size: 2 GB",5.1 GB,5.1 GB,https://fitgirl-repacks.site/darktimes-wrath-of-the-raven
Darkwood: Deluxe Edition – v1.4a + Bonus Content,"Action, Adventure, Survival, Top-down, 2D","Genres/Tags: Action , Adventure , Survival , Top-down , 2D Companies: Acid Wizard Studio, Crunching Koalas Languages: RUS/ENG/MULTI10 Original Size: 5.2 GB Repack Size: 1.7/2 GB","Genres/Tags: Action , Adventure , Survival , Top-down , 2D Companies: Acid Wizard Studio, Crunching Koalas Languages: RUS/ENG/MULTI10 Original Size: 5.2 GB Repack Size: 1.7/2 GB",5.2 GB,5.2 GB,https://fitgirl-repacks.site/darkwood
DARQ: Complete Edition – v1.3 + The Tower & The Crypt DLCs,"Arcade, Platform adventure, Side, 3D, Horror",,"Genres/Tags: Arcade , Platform adventure , Side , 3D , Horror Company: Unfold Games Languages: RUS/ENG/MULTI19 Original Size: 1.7 GB Repack Size: 1 GB",1.7 GB,1.7 GB,https://fitgirl-repacks.site/darq
Darwin’s Paradox! + Pre-Order Skin Pack DLC,"Arcade, Action, Exploration, Platform adventure","Genres/Tags: Arcade , Action , Exploration , Platform adventure Companies: ZDT Studio, Konami Languages: RUS/ENG/MULTI9 Original Size: 7.6 GB Repack Size: 4.8 GB","Genres/Tags: Arcade , Action , Exploration , Platform adventure Companies: ZDT Studio, Konami Languages: RUS/ENG/MULTI9 Original Size: 7.6 GB Repack Size: 4.8 GB",7.6 GB,7.6 GB,https://fitgirl-repacks.site/darwins-paradox
Date Everything! Lavish Edition – v2.555.97759 + 2 DLCs,"Adult, Dating sim, First-person, Side, 2D, 3D","Genres/Tags: Adult , Dating sim , First-person , Side , 2D , 3D Companies: Team17 Digital, Sassy Chap Games Language: ENG Original Size: 7.3 GB Repack Size: 3.7 GB",,7.3 GB,7.3 GB,https://fitgirl-repacks.site/date-everything
"Dave The Diver: Collection Bundle, v1.0.6.2018 + 5 DLCs/Bonuses","Exploration, RPG, Managerial, Side, 2D, Retro look",,"Genres/Tags: Exploration , RPG , Managerial , Side , 2D , Retro look Company: Mintrocket Languages: RUS/ENG/MULTI11 Original Size: 6.6 GB Repack Size: 3.1/3.4 GB",6.6 GB,6.6 GB,https://fitgirl-repacks.site/dave-the-diver
Dawn Break,"Action, Third-person, 3D, Post-apocalypse, Zombies",,"Genres/Tags: Action , Third-person , 3D , Post-apocalypse , Zombies Company: SYN-Studio Languages: ENG/MULTI5 Original Size: 15.7 GB Repack Size: 7.9 GB",15.7 GB,15.7 GB,https://fitgirl-repacks.site/dawn-break
Dawn of the Ashen Queen,"RPG, Dungeon crawl, First-person, 3D, Real-time",,,14.2 GB,14.2 GB,https://fitgirl-repacks.site/dawn-of-the-ashen-queen
Dawn of the Monsters – v1.2.1 + Arcade + Character DLC Pack,"Arcade, Beat 'em up (Brawler), Side, 2D","Genres/Tags: Arcade , Beat 'em up (Brawler) , Side , 2D Companies: 13AM Games, WayForward Languages: ENG/MULTI5 Original Size: 2 GB Repack Size: 1 GB","Genres/Tags: Arcade , Beat 'em up (Brawler) , Side , 2D Companies: 13AM Games, WayForward Languages: ENG/MULTI5 Original Size: 2 GB Repack Size: 1 GB",2 GB,2 GB,https://fitgirl-repacks.site/dawn-of-the-monsters
Day of the Tentacle Remastered,,,Company: Disney Interactive Studios Languages: ENG/MULTI5 Original Size: 2.16 GB Repack Size: 1.66 GB,2.16 GB,2.16 GB,https://fitgirl-repacks.site/day-of-the-tentacle-remastered
Daydream: Forgotten Sorrow – v1.2.4,"Arcade, Platform adventure, Side, Third-person, 3D","Genres/Tags: Arcade , Platform adventure , Side , Third-person , 3D Companies: Frozen Line, Ravenage Games Languages: RUS/ENG/MULTI19 Original Size: 2.9 GB Repack Size: 1.8 GB","Genres/Tags: Arcade , Platform adventure , Side , Third-person , 3D Companies: Frozen Line, Ravenage Games Languages: RUS/ENG/MULTI19 Original Size: 2.9 GB Repack Size: 1.8 GB",2.9 GB,2.9 GB,https://fitgirl-repacks.site/daydream-forgotten-sorrow
Daydreamy + Windows 7 Fix,"Logic, Puzzle, First-person, 3D","Genres/Tags: Logic , Puzzle , First-person , 3D Companies: Anaphora Games Languages: ENG/ESP Original Size: 2.3 GB Repack Size: 1.1 GB","Genres/Tags: Logic , Puzzle , First-person , 3D Companies: Anaphora Games Languages: ENG/ESP Original Size: 2.3 GB Repack Size: 1.1 GB",2.3 GB,2.3 GB,https://fitgirl-repacks.site/daydreamy
Daymare: 1994 Sandcastle – v6410,"Action, Shooter, Survival, Third-person, Horror","Genres/Tags: Action , Shooter , Survival , Third-person , Horror Companies: Invader Studios, Leonardo Interactive Languages: RUS/ENG/MULTI13 Original Size: 29.4 GB Repack Size: 18.6/19.1 GB","Genres/Tags: Action , Shooter , Survival , Third-person , Horror Companies: Invader Studios, Leonardo Interactive Languages: RUS/ENG/MULTI13 Original Size: 29.4 GB Repack Size: 18.6/19.1 GB",29.4 GB,29.4 GB,https://fitgirl-repacks.site/daymare-1994-sandcastle
Daymare: 1998,"Action, Shooter, Survival, Third-person, 3D","Genres/Tags: Action , Shooter , Survival , Third-person , 3D Companies: Invader Studios, Destructive Creations, All in! Games Languages: RUS/ENG/MULTI7 Original Size: 20.3 GB Repack Size: 15.1/15.5 GB","Genres/Tags: Action , Shooter , Survival , Third-person , 3D Companies: Invader Studios, Destructive Creations, All in! Games Languages: RUS/ENG/MULTI7 Original Size: 20.3 GB Repack Size: 15.1/15.5 GB",20.3 GB,20.3 GB,https://fitgirl-repacks.site/daymare-1998
Days End,"Action, Shooter, First-person, 3D, Horror","Genres/Tags: Action , Shooter , First-person , 3D , Horror Companies: Ahsin Memon, Trenton Scotti Language: ENG Original Size: 3.6 GB Repack Size: 1.2 GB",,3.6 GB,3.6 GB,https://fitgirl-repacks.site/days-end
Days Gone – v1.08 + Broken Road DLC,"Action, Adventure, Shooter, Open world, Stealth, Third-person, 3D, Horror, Post-apocalypse","Genres/Tags: Action , Adventure , Shooter , Open world , Stealth , Third-person , 3D , Horror , Post-apocalypse Companies: Bend Studio, PlayStation Mobile, Inc. Languages: RUS/ENG/MULTI23 Original Size: 54.8 GB Repack Size: from 22.5 GB","Genres/Tags: Action , Adventure , Shooter , Open world , Stealth , Third-person , 3D , Horror , Post-apocalypse Companies: Bend Studio, PlayStation Mobile, Inc. Languages: RUS/ENG/MULTI23 Original Size: 54.8 GB Repack Size: from 22.5 GB",54.8 GB,54.8 GB,https://fitgirl-repacks.site/days-gone
DC League of Super-Pets: The Adventures of Krypto and Ace,"Arcade, Kids, Third-person, Top-down, 3D","Genres/Tags: Arcade , Kids , Third-person , Top-down , 3D Companies: PHL Collective, Outright Games Ltd. Languages: RUS/ENG/MULTI16 Original Size: 680 MB Repack Size: 321 MB","Genres/Tags: Arcade , Kids , Third-person , Top-down , 3D Companies: PHL Collective, Outright Games Ltd. Languages: RUS/ENG/MULTI16 Original Size: 680 MB Repack Size: 321 MB",680 MB,680 MB,https://fitgirl-repacks.site/dc-league-of-super-pets-the-adventures-of-krypto-and-ace
DC’s Justice League: Cosmic Chaos,"Arcade, Beat 'em up (Brawler), Isometric, 3D, 1337x, magnet, .torrent file only, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: BayFiles, Filehoster: OneDrive, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: Arcade , Beat 'em up (Brawler) , Isometric , 3D Companies: PHL Collective, Outright Games Languages: ENG/MULTI14 Original Size: 5.5 GB Repack Size: from 1.7 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: BayFiles Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), compatible with torrent mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on DCs.Justice.League.Cosmic.Chaos-TENOKE ISO release: tenoke-dcs.justice.league.cosmic.chaos.iso (5,878,872,064 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of non-English voiceover packs Significantly smaller archive size (compressed from 5.5 to 1.7~2.8 GB, depending on selected components) Installation takes 4-11 minutes (depending on your system and selected components) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 5.5 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Unite against chaos, in an all-new open world adventure where the Justice League go head-to-head with Mr. Mxyzptlk, a powerful prankster from the 5th Dimension. Suit up as Batman, Wonder Woman and Superman and go face off against some of the most powerful Super-Villains in the DC universe; including Bizarro, Starro the Conqueror, Clayface and many more in an epic battle to bring peace to Happy Harbor.","Genres/Tags: Arcade , Beat 'em up (Brawler) , Isometric , 3D Companies: PHL Collective, Outright Games Languages: ENG/MULTI14 Original Size: 5.5 GB Repack Size: from 1.7 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: BayFiles Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), compatible with torrent mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on DCs.Justice.League.Cosmic.Chaos-TENOKE ISO release: tenoke-dcs.justice.league.cosmic.chaos.iso (5,878,872,064 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of non-English voiceover packs Significantly smaller archive size (compressed from 5.5 to 1.7~2.8 GB, depending on selected components) Installation takes 4-11 minutes (depending on your system and selected components) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 5.5 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Unite against chaos, in an all-new open world adventure where the Justice League go head-to-head with Mr. Mxyzptlk, a powerful prankster from the 5th Dimension. Suit up as Batman, Wonder Woman and Superman and go face off against some of the most powerful Super-Villains in the DC universe; including Bizarro, Starro the Conqueror, Clayface and many more in an epic battle to bring peace to Happy Harbor.",5.5 GB,5.5 GB,https://fitgirl-repacks.site/dcs-justice-league-cosmic-chaos
DCL – The Game,"Racing, Simulation, First-person, Third-person, 3D, UAV","Genres/Tags: Racing , Simulation , First-person , Third-person , 3D , UAV Companies: Climax Studios, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 7.3 GB Repack Size: 3/6 GB","Genres/Tags: Racing , Simulation , First-person , Third-person , 3D , UAV Companies: Climax Studios, THQ Nordic Languages: RUS/ENG/MULTI11 Original Size: 7.3 GB Repack Size: 3/6 GB",7.3 GB,7.3 GB,https://fitgirl-repacks.site/dcl-the-game
